left,top,right,bottom,id
-162.0000000000000000,24.0000000000000000,-161.0000000000000000,23.0000000000000000,"902"
-162.0000000000000000,-10.0000000000000000,-161.0000000000000000,-11.0000000000000000,"936"
-161.0000000000000000,23.0000000000000000,-160.0000000000000000,22.0000000000000000,"953"
-161.0000000000000000,22.0000000000000000,-160.0000000000000000,21.0000000000000000,"954"
-161.0000000000000000,5.0000000000000000,-160.0000000000000000,4.0000000000000000,"971"
-161.0000000000000000,0.0000000000000000,-160.0000000000000000,-1.0000000000000000,"976"
-161.0000000000000000,-10.0000000000000000,-160.0000000000000000,-11.0000000000000000,"986"
-160.0000000000000000,23.0000000000000000,-159.0000000000000000,22.0000000000000000,"1003"
-160.0000000000000000,22.0000000000000000,-159.0000000000000000,21.0000000000000000,"1004"
-160.0000000000000000,4.0000000000000000,-159.0000000000000000,3.0000000000000000,"1022"
-160.0000000000000000,-18.0000000000000000,-159.0000000000000000,-19.0000000000000000,"1044"
-160.0000000000000000,-21.0000000000000000,-159.0000000000000000,-22.0000000000000000,"1047"
-159.0000000000000000,22.0000000000000000,-158.0000000000000000,21.0000000000000000,"1054"
-159.0000000000000000,-8.0000000000000000,-158.0000000000000000,-9.0000000000000000,"1084"
-159.0000000000000000,-19.0000000000000000,-158.0000000000000000,-20.0000000000000000,"1095"
-159.0000000000000000,-20.0000000000000000,-158.0000000000000000,-21.0000000000000000,"1096"
-158.0000000000000000,22.0000000000000000,-157.0000000000000000,21.0000000000000000,"1104"
-158.0000000000000000,21.0000000000000000,-157.0000000000000000,20.0000000000000000,"1105"
-158.0000000000000000,3.0000000000000000,-157.0000000000000000,2.0000000000000000,"1123"
-158.0000000000000000,2.0000000000000000,-157.0000000000000000,1.0000000000000000,"1124"
-158.0000000000000000,-8.0000000000000000,-157.0000000000000000,-9.0000000000000000,"1134"
-158.0000000000000000,-19.0000000000000000,-157.0000000000000000,-20.0000000000000000,"1145"
-158.0000000000000000,-20.0000000000000000,-157.0000000000000000,-21.0000000000000000,"1146"
-158.0000000000000000,-21.0000000000000000,-157.0000000000000000,-22.0000000000000000,"1147"
-157.0000000000000000,22.0000000000000000,-156.0000000000000000,21.0000000000000000,"1154"
-157.0000000000000000,21.0000000000000000,-156.0000000000000000,20.0000000000000000,"1155"
